event_id,timestamp_start,timestamp_end,line_id,station_id,robot_id,failure_code,failure_category,downtime_minutes,shift,pieces_lost,day_of_week
16,2024-04-11T20:29:00,2024-04-11T20:31:34.165973,BodyShop,BS_Trans_01,R005,E01,mechanical,2.7,afternoon,2,Thursday
17,2024-05-23T17:16:00,2024-05-23T17:44:49.126145,FinalAssembly,FA_QC_01,R029,E03,programming,28.8,afternoon,7,Thursday
18,2024-04-02T07:08:00,2024-04-02T07:25:05.320842,FinalAssembly,FA_QC_01,R003,E04,sensor,17.1,morning,5,Tuesday
19,2024-01-29T04:40:00,2024-01-29T04:41:00,BodyShop,BS_QC_01,R020,E01,mechanical,1.2,night,0,Monday
20,2024-04-07T19:29:00,2024-04-07T19:56:09.383698,FinalAssembly,FA_Station_02,R018,E05,material_supply,27.2,afternoon,9,Sunday
21,2024-01-03T21:46:00,2024-01-03T21:55:20.319872,BodyShop,BS_Trans_01,R025,E03,programming,9.8,afternoon,8,Wednesday
22,2024-01-29T09:27:00,2024-01-29T09:32:06.582899,BodyShop,BS_QC_01,R001,E06,other,5.4,morning,4,Monday
23,2024-03-08T16:48:00,2024-03-08T18:15:19.210699,BodyShop,BS_Weld_01,R028,E03,programming,91.7,afternoon,29,Friday
24,2024-06-12T16:38:00,2024-06-12T17:41:44.153069,BodyShop,BS_Weld_02,R012,E04,sensor,66.9,afternoon,23,Wednesday
25,2024-05-18T16:58:00,2024-05-18T17:00:18.983188,BodyShop,BS_Trans_01,R016,E01,mechanical,2.4,afternoon,0,Saturday
26,2024-04-02T09:15:00,2024-04-02T09:22:54.840665,BodyShop,BS_Weld_02,R029,E03,programming,8.3,morning,0,Tuesday
27,2024-01-21T02:46:00,2024-01-21T03:30:06.836798,PaintShop,PS_Prep_01,R025,E03,programming,48.5,night,12,Sunday
28,2024-02-02T04:42:00,2024-02-02T05:01:33.610625,PaintShop,PS_Paint_01,R009,E03,programming,21.5,night,4,Friday
29,2024-06-04T13:13:00,2024-06-04T13:16:47.847222,FinalAssembly,FA_Station_01,R023,E02,electrical,3.8,morning,2,Tuesday
30,2024-06-20T20:23:00,2024-06-20T20:55:38.494363,PaintShop,PS_QC_01,R004,E01,mechanical,32.6,afternoon,12,Thursday
31,2024-01-17T10:01:00,2024-01-17T10:37:52.821789,FinalAssembly,FA_Station_01,R019,E01,mechanical,36.9,morning,11,Wednesday
32,2024-01-19T22:40:00,2024-01-19T22:43:04.725157,BodyShop,BS_Weld_02,R003,E05,material_supply,3.6,night,0,Friday
33,2024-03-25T02:32:00,2024-03-25T03:21:42.794357,BodyShop,BS_Trans_01,R022,E03,programming,57.4,night,13,Monday
34,2024-05-18T04:46:00,2024-05-18T04:47:38.502099,FinalAssembly,FA_QC_01,R008,E04,sensor,1.8,night,2,Saturday
35,2024-04-14T06:06:00,2024-04-14T06:15:18.732526,BodyShop,BS_QC_01,R012,E02,electrical,9.8,morning,5,Sunday
36,2024-04-29T23:03:00,2024-04-29T23:28:22.334038,FinalAssembly,FA_Conv_01,R002,E02,electrical,27.9,night,6,Monday
37,2024-03-27T03:15:00,2024-03-27T04:09:33.377869,BodyShop,BS_Weld_02,R018,E02,electrical,63.0,night,16,Wednesday
38,2024-04-18T05:17:00,2024-04-18T05:48:13.689516,PaintShop,PS_Paint_01,R028,E05,material_supply,34.4,night,10,Thursday
39,2024-04-23T17:06:00,2024-04-23T17:41:45.589130,BodyShop,BS_Weld_01,R003,E05,material_supply,37.5,afternoon,14,Tuesday
40,2024-03-01T05:26:00,2024-03-01T05:43:01.222097,PaintShop,PS_QC_01,R007,E05,material_supply,18.7,night,6,Friday
41,2024-01-16T05:24:00,2024-01-16T05:42:29.518258,BodyShop,BS_QC_01,R009,E05,material_supply,21.4,night,5,Tuesday
42,2024-04-26T09:27:00,2024-04-26T09:29:51.251153,FinalAssembly,FA_QC_01,R005,E01,mechanical,2.9,morning,0,Friday
43,2024-02-25T01:37:00,2024-02-25T01:38:00,FinalAssembly,FA_Conv_01,R024,E02,electrical,1.1,night,0,Sunday
44,2024-01-13T18:30:00,2024-01-13T18:47:45.655766,FinalAssembly,FA_Station_01,R002,E06,other,17.8,afternoon,8,Saturday
45,2024-01-21T05:04:00,2024-01-21T06:03:31.898295,FinalAssembly,FA_Conv_01,R022,E05,material_supply,65.5,night,18,Sunday
46,2024-04-13T03:56:00,2024-04-13T04:31:13.123721,FinalAssembly,FA_Station_01,R019,E03,programming,38.7,night,8,Saturday
47,2024-06-07T02:26:00,2024-06-07T02:32:29.707735,FinalAssembly,FA_Station_02,R030,E02,electrical,7.1,night,1,Friday
48,2024-06-20T22:20:00,2024-06-20T22:24:23.712538,BodyShop,BS_Trans_01,R013,E01,mechanical,5.1,night,0,Thursday
49,2024-06-14T09:29:00,2024-06-14T10:35:22.425129,PaintShop,PS_Prep_01,R001,E03,programming,66.4,morning,23,Friday
50,2024-05-24T03:04:00,2024-05-24T03:55:17.279596,FinalAssembly,FA_Station_01,R017,E02,electrical,56.4,night,19,Friday
51,2024-03-30T02:56:00,2024-03-30T03:36:41.953411,BodyShop,BS_Trans_01,R010,E01,mechanical,47.0,night,16,Saturday
52,2024-05-19T22:19:00,2024-05-19T23:15:36.363974,FinalAssembly,FA_Conv_01,R022,E05,material_supply,62.3,night,19,Sunday
53,2024-03-17T21:06:00,2024-03-17T21:15:34.096075,BodyShop,BS_Trans_01,R004,E05,material_supply,10.0,afternoon,2,Sunday
54,2024-05-21T04:17:00,2024-05-21T04:30:55.586539,PaintShop,PS_Paint_01,R023,E02,electrical,15.3,night,3,Tuesday
55,2024-06-24T20:54:00,2024-06-24T21:36:35.744590,PaintShop,PS_QC_01,R009,E05,material_supply,42.6,afternoon,8,Monday
56,2024-01-14T02:40:00,2024-01-14T02:46:16.751007,PaintShop,PS_Oven_01,R002,E01,mechanical,6.9,night,2,Sunday
57,2024-02-03T20:16:00,2024-02-03T20:19:11.520587,BodyShop,BS_QC_01,R018,E04,sensor,3.4,afternoon,1,Saturday
58,2024-05-23T00:07:00,2024-05-23T00:16:45.575704,BodyShop,BS_Weld_02,R018,E01,mechanical,11.3,night,2,Thursday
59,2024-04-04T18:35:00,2024-04-04T18:53:17.179209,BodyShop,BS_QC_01,R005,E01,mechanical,19.2,afternoon,4,Thursday
60,2024-04-03T01:57:00,2024-04-03T03:26:11.697207,PaintShop,PS_Paint_01,R022,E01,mechanical,98.1,night,32,Wednesday
61,2024-01-27T11:49:00,2024-01-27T13:11:03.014797,FinalAssembly,FA_QC_01,R020,E04,sensor,82.1,morning,27,Saturday
62,2024-03-01T05:51:00,2024-03-01T05:59:56.895690,BodyShop,BS_QC_01,R001,E01,mechanical,10.3,night,0,Friday
63,2024-03-26T13:51:00,2024-03-26T13:59:22.874515,FinalAssembly,FA_Station_01,R009,E01,mechanical,8.4,morning,2,Tuesday
64,2024-06-28T03:24:00,2024-06-28T03:41:27.779449,BodyShop,BS_QC_01,R008,E01,mechanical,20.2,night,4,Friday
65,2024-04-27T11:19:00,2024-04-27T11:20:19.276631,BodyShop,BS_Weld_02,R001,E04,sensor,1.4,morning,1,Saturday
66,2024-04-12T10:17:00,2024-04-12T10:23:50.790828,BodyShop,BS_Trans_01,R012,E03,programming,7.2,morning,1,Friday
67,2024-04-12T21:53:00,2024-04-12T21:56:54.796291,FinalAssembly,FA_Station_02,R001,E01,mechanical,3.9,afternoon,1,Friday
68,2024-03-07T05:37:00,2024-03-07T05:43:55.717220,PaintShop,PS_Prep_01,R004,E03,programming,7.6,night,2,Thursday
69,2024-03-29T23:50:00,2024-03-30T00:17:52.732515,PaintShop,PS_QC_01,R020,E06,other,30.7,night,7,Friday
70,2024-01-30T12:57:00,2024-01-30T13:29:34.123393,FinalAssembly,FA_Station_01,R009,E01,mechanical,32.6,morning,12,Tuesday
71,2024-04-21T00:33:00,2024-04-21T00:44:27.784199,FinalAssembly,FA_Station_01,R012,E02,electrical,12.6,night,6,Sunday
72,2024-06-19T10:39:00,2024-06-19T10:58:11.077875,PaintShop,PS_Prep_01,R024,E05,material_supply,19.2,morning,9,Wednesday
73,2024-05-09T09:42:00,2024-05-09T09:44:21.943738,PaintShop,PS_Oven_01,R013,E04,sensor,2.4,morning,0,Thursday
74,2024-05-21T04:12:00,2024-05-21T04:17:09.648160,PaintShop,PS_QC_01,R022,E04,sensor,5.7,night,3,Tuesday
75,2024-02-14T19:36:00,2024-02-14T19:37:02.444640,PaintShop,PS_QC_01,R018,E05,material_supply,1.0,afternoon,3,Wednesday
76,2024-03-18T09:13:00,2024-03-18T09:14:00,PaintShop,PS_Oven_01,R015,E02,electrical,1.0,morning,2,Monday
77,2024-06-21T06:32:00,2024-06-21T06:49:56.445877,PaintShop,PS_Paint_01,R022,E01,mechanical,17.9,morning,7,Friday
78,2024-05-11T21:40:00,2024-05-11T21:44:47.406334,FinalAssembly,FA_Station_02,R003,E05,material_supply,4.8,afternoon,0,Saturday
79,2024-03-01T21:19:00,2024-03-01T21:48:21.318791,BodyShop,BS_Weld_02,R005,E01,mechanical,30.8,afternoon,11,Friday
80,2024-03-03T15:39:00,2024-03-03T15:42:41.916620,BodyShop,BS_QC_01,R014,E05,material_supply,3.9,afternoon,0,Sunday
81,2024-05-27T06:45:00,2024-05-27T06:55:25.698651,FinalAssembly,FA_QC_01,R016,E02,electrical,10.4,morning,2,Monday
82,2024-02-07T20:44:00,2024-02-07T21:10:58.144109,BodyShop,BS_Weld_01,R025,E02,electrical,28.3,afternoon,10,Wednesday
83,2024-02-15T22:33:00,2024-02-15T23:15:29.226109,PaintShop,PS_Prep_01,R018,E01,mechanical,46.7,night,16,Thursday
84,2024-02-01T14:08:00,2024-02-01T14:14:55.315568,PaintShop,PS_Oven_01,R025,E05,material_supply,6.9,afternoon,7,Thursday
85,2024-06-05T23:57:00,2024-06-05T23:59:26.589211,FinalAssembly,FA_QC_01,R027,E05,material_supply,2.7,night,0,Wednesday
86,2024-04-24T05:47:00,2024-04-24T05:57:44.351424,PaintShop,PS_QC_01,R009,E04,sensor,11.8,night,5,Wednesday
87,2024-06-12T08:49:00,2024-06-12T09:21:21.698145,FinalAssembly,FA_QC_01,R021,E01,mechanical,32.4,morning,12,Wednesday
88,2024-04-22T02:45:00,2024-04-22T02:47:11.837589,PaintShop,PS_Paint_01,R009,E02,electrical,2.4,night,3,Monday
89,2024-05-18T02:08:00,2024-05-18T02:12:24.441322,BodyShop,BS_Weld_02,R013,E04,sensor,5.1,night,1,Saturday
90,2024-06-29T06:04:00,2024-06-29T06:05:00,PaintShop,PS_QC_01,R011,E03,programming,1.0,morning,2,Saturday
91,2024-04-16T01:13:00,2024-04-16T01:15:40.495352,PaintShop,PS_QC_01,R029,E04,sensor,2.9,night,1,Tuesday
92,2024-06-27T00:54:00,2024-06-27T01:23:25.972930,FinalAssembly,FA_QC_01,R016,E01,mechanical,32.4,night,7,Thursday
93,2024-03-31T09:48:00,2024-03-31T10:14:23.162223,PaintShop,PS_QC_01,R018,E04,sensor,26.4,morning,10,Sunday
94,2024-05-19T19:57:00,2024-05-19T20:03:46.235639,BodyShop,BS_QC_01,R008,E02,electrical,7.1,afternoon,0,Sunday
95,2024-05-04T00:24:00,2024-05-04T00:33:50.452363,PaintShop,PS_QC_01,R024,E01,mechanical,10.8,night,4,Saturday
96,2024-04-29T04:39:00,2024-04-29T05:26:17.934116,FinalAssembly,FA_Conv_01,R030,E02,electrical,52.0,night,18,Monday
97,2024-05-24T21:01:00,2024-05-24T21:27:47.719932,BodyShop,BS_QC_01,R005,E05,material_supply,28.1,afternoon,7,Friday
98,2024-02-16T01:16:00,2024-02-16T01:27:27.624461,PaintShop,PS_Oven_01,R007,E03,programming,12.6,night,4,Friday
99,2024-03-27T12:17:00,2024-03-27T12:24:42.240222,PaintShop,PS_Oven_01,R027,E01,mechanical,7.7,morning,4,Wednesday
100,2024-01-05T23:34:00,2024-01-05T23:58:56.001579,BodyShop,BS_Trans_01,R008,E04,sensor,28.8,night,7,Friday
101,2024-06-15T01:48:00,2024-06-15T02:27:35.737879,BodyShop,BS_Weld_02,R007,E05,material_supply,45.7,night,18,Saturday
102,2024-06-08T04:15:00,2024-06-08T04:31:57.440150,BodyShop,BS_QC_01,R022,E01,mechanical,19.6,night,5,Saturday
103,2024-02-25T14:44:00,2024-02-25T14:49:25.822343,PaintShop,PS_Oven_01,R006,E03,programming,5.4,afternoon,0,Sunday
104,2024-01-30T05:19:00,2024-01-30T05:20:00,BodyShop,BS_Weld_01,R030,E02,electrical,1.2,night,2,Tuesday
105,2024-06-22T12:25:00,2024-06-22T12:50:55.453179,FinalAssembly,FA_Station_01,R003,E03,programming,25.9,morning,8,Saturday
106,2024-06-09T07:06:00,2024-06-09T08:31:01.263024,FinalAssembly,FA_Station_02,R028,E04,sensor,85.0,morning,29,Sunday
107,2024-01-31T18:50:00,2024-01-31T20:12:50.603214,BodyShop,BS_Trans_01,R018,E02,electrical,87.0,afternoon,26,Wednesday
108,2024-04-04T02:32:00,2024-04-04T02:44:09.437898,FinalAssembly,FA_Station_02,R001,E05,material_supply,13.4,night,5,Thursday
109,2024-05-05T03:27:00,2024-05-05T04:14:37.089979,PaintShop,PS_QC_01,R023,E01,mechanical,52.4,night,14,Sunday
110,2024-02-15T23:33:00,2024-02-15T23:53:20.605488,FinalAssembly,FA_Station_02,R020,E05,material_supply,22.4,night,5,Thursday
111,2024-05-17T15:29:00,2024-05-17T16:37:46.940206,PaintShop,PS_Oven_01,R011,E05,material_supply,68.8,afternoon,24,Friday
112,2024-01-23T08:56:00,2024-01-23T08:58:33.342296,PaintShop,PS_Paint_01,R025,E03,programming,2.6,morning,4,Tuesday
113,2024-06-05T21:24:00,2024-06-05T21:47:51.796073,PaintShop,PS_Prep_01,R016,E05,material_supply,23.9,afternoon,10,Wednesday
114,2024-02-16T15:13:00,2024-02-16T15:46:45.051373,PaintShop,PS_Oven_01,R011,E02,electrical,33.8,afternoon,11,Friday
115,2024-06-01T22:56:00,2024-06-01T23:25:51.111638,PaintShop,PS_Prep_01,R017,E05,material_supply,32.8,night,8,Saturday
116,2024-01-22T07:46:00,2024-01-22T07:54:41.343126,PaintShop,PS_QC_01,R018,E04,sensor,8.7,morning,5,Monday
117,2024-06-25T15:41:00,2024-06-25T16:22:26.061761,FinalAssembly,FA_QC_01,R015,E04,sensor,41.4,afternoon,14,Tuesday
118,2024-01-24T09:14:00,2024-01-24T10:15:06.923943,PaintShop,PS_Paint_01,R010,E04,sensor,61.1,morning,20,Wednesday
119,2024-04-04T15:35:00,2024-04-04T15:52:54.139855,FinalAssembly,FA_Station_02,R014,E06,other,17.9,afternoon,8,Thursday
120,2024-05-20T10:22:00,2024-05-20T10:48:14.578612,FinalAssembly,FA_QC_01,R009,E02,electrical,26.2,morning,8,Monday
121,2024-02-29T03:46:00,2024-02-29T04:16:15.825973,BodyShop,BS_Trans_01,R004,E04,sensor,35.0,night,10,Thursday
122,2024-06-25T05:12:00,2024-06-25T05:22:18.723611,BodyShop,BS_QC_01,R009,E04,sensor,11.9,night,3,Tuesday
123,2024-05-14T19:18:00,2024-05-14T19:29:46.405183,BodyShop,BS_Weld_02,R010,E01,mechanical,12.4,afternoon,4,Tuesday
124,2024-02-15T09:00:00,2024-02-15T09:01:00,FinalAssembly,FA_Station_01,R009,E01,mechanical,1.0,morning,0,Thursday
125,2024-01-14T17:18:00,2024-01-14T17:33:39.910422,FinalAssembly,FA_Station_01,R021,E05,material_supply,15.7,afternoon,1,Sunday
126,2024-05-05T03:55:00,2024-05-05T04:17:20.448795,BodyShop,BS_Trans_01,R016,E03,programming,25.8,night,8,Sunday
127,2024-03-28T05:03:00,2024-03-28T05:04:00,PaintShop,PS_QC_01,R004,E05,material_supply,1.1,night,0,Thursday
128,2024-04-12T15:04:00,2024-04-12T15:22:27.980382,FinalAssembly,FA_Conv_01,R005,E01,mechanical,18.5,afternoon,5,Friday
129,2024-05-24T09:05:00,2024-05-24T09:41:44.471911,BodyShop,BS_Weld_01,R018,E04,sensor,38.6,morning,13,Friday
130,2024-06-04T19:50:00,2024-06-04T19:52:13.816543,FinalAssembly,FA_Station_01,R025,E03,programming,2.2,afternoon,0,Tuesday
131,2024-04-25T14:19:00,2024-04-25T14:20:19.597644,FinalAssembly,FA_QC_01,R010,E03,programming,1.3,afternoon,5,Thursday
132,2024-01-16T19:47:00,2024-01-16T20:12:21.806172,BodyShop,BS_Weld_02,R021,E01,mechanical,26.6,afternoon,12,Tuesday
133,2024-06-18T02:10:00,2024-06-18T02:42:22.440844,BodyShop,BS_Weld_02,R018,E01,mechanical,37.4,night,10,Tuesday
134,2024-01-01T13:28:00,2024-01-01T13:37:45.029571,FinalAssembly,FA_QC_01,R010,E01,mechanical,9.8,morning,4,Monday
135,2024-03-14T22:18:00,2024-03-14T22:57:38.480970,FinalAssembly,FA_QC_01,R003,E04,sensor,43.6,night,12,Thursday
136,2024-03-08T20:37:00,2024-03-08T20:39:02.557753,FinalAssembly,FA_Station_01,R014,E01,mechanical,2.0,afternoon,0,Friday
137,2024-02-27T20:09:00,2024-02-27T20:10:00,PaintShop,PS_Paint_01,R003,E01,mechanical,1.0,afternoon,0,Tuesday
138,2024-03-19T19:47:00,2024-03-19T19:51:45.459804,FinalAssembly,FA_Station_02,R015,E01,mechanical,4.8,afternoon,4,Tuesday
139,2024-06-25T09:44:00,2024-06-25T09:48:15.181112,PaintShop,PS_Oven_01,R017,E03,programming,4.3,morning,2,Tuesday
140,2024-04-22T02:38:00,2024-04-22T03:09:20.773932,BodyShop,BS_QC_01,R024,E02,electrical,36.2,night,7,Monday
141,2024-03-05T00:05:00,2024-03-05T00:31:59.085525,BodyShop,BS_Weld_01,R025,E04,sensor,31.2,night,9,Tuesday
142,2024-03-09T18:02:00,2024-03-09T18:25:39.045708,BodyShop,BS_QC_01,R017,E04,sensor,24.8,afternoon,11,Saturday
143,2024-03-12T05:37:00,2024-03-12T05:50:36.056798,PaintShop,PS_QC_01,R003,E03,programming,15.0,night,3,Tuesday
144,2024-04-14T10:20:00,2024-04-14T10:55:27.272772,FinalAssembly,FA_Conv_01,R028,E01,mechanical,35.5,morning,9,Sunday
145,2024-04-15T22:31:00,2024-04-15T22:32:00,PaintShop,PS_QC_01,R027,E04,sensor,1.1,night,0,Monday
146,2024-01-10T14:05:00,2024-01-10T14:07:34.435378,PaintShop,PS_Oven_01,R011,E01,mechanical,2.6,afternoon,4,Wednesday
147,2024-04-13T16:52:00,2024-04-13T17:08:54.776949,BodyShop,BS_QC_01,R014,E01,mechanical,17.8,afternoon,3,Saturday
148,2024-05-12T11:39:00,2024-05-12T11:53:13.348697,PaintShop,PS_QC_01,R025,E01,mechanical,14.2,morning,4,Sunday
149,2024-03-09T17:08:00,2024-03-09T17:20:42.504922,PaintShop,PS_QC_01,R029,E04,sensor,12.7,afternoon,7,Saturday
150,2024-02-01T00:40:00,2024-02-01T00:41:09.543486,FinalAssembly,FA_Station_01,R023,E01,mechanical,1.3,night,3,Thursday
151,2024-05-21T00:35:00,2024-05-21T00:46:44.076007,PaintShop,PS_Prep_01,R008,E06,other,12.9,night,4,Tuesday
152,2024-01-30T14:07:00,2024-01-30T14:55:32.024180,FinalAssembly,FA_Station_01,R016,E05,material_supply,48.5,afternoon,20,Tuesday
153,2024-03-15T16:45:00,2024-03-15T17:11:52.462146,PaintShop,PS_QC_01,R027,E03,programming,26.9,afternoon,8,Friday
154,2024-04-30T07:29:00,2024-04-30T07:51:02.021067,FinalAssembly,FA_Station_01,R013,E01,mechanical,22.0,morning,7,Tuesday
155,2024-06-02T16:47:00,2024-06-02T17:57:25.883183,BodyShop,BS_Weld_01,R009,E04,sensor,74.0,afternoon,19,Sunday
156,2024-04-16T10:59:00,2024-04-16T11:24:46.240737,FinalAssembly,FA_Station_02,R027,E01,mechanical,25.8,morning,11,Tuesday
157,2024-03-17T18:37:00,2024-03-17T18:52:19.433961,FinalAssembly,FA_QC_01,R028,E01,mechanical,15.3,afternoon,6,Sunday
158,2024-05-17T15:22:00,2024-05-17T15:34:11.891291,PaintShop,PS_QC_01,R015,E05,material_supply,12.2,afternoon,4,Friday
159,2024-02-18T22:15:00,2024-02-18T23:36:13.637792,FinalAssembly,FA_QC_01,R008,E05,material_supply,89.4,night,26,Sunday
160,2024-04-15T01:20:00,2024-04-15T01:29:36.235782,FinalAssembly,FA_QC_01,R023,E05,material_supply,10.6,night,3,Monday
161,2024-04-07T12:42:00,2024-04-07T13:28:35.289060,FinalAssembly,FA_Station_01,R016,E06,other,46.6,morning,14,Sunday
162,2024-02-02T16:37:00,2024-02-02T17:06:49.733113,PaintShop,PS_Prep_01,R028,E05,material_supply,29.8,afternoon,9,Friday
163,2024-01-26T16:58:00,2024-01-26T17:22:47.098765,PaintShop,PS_Prep_01,R024,E01,mechanical,24.8,afternoon,8,Friday
164,2024-06-16T04:04:00,2024-06-16T04:44:40.493709,PaintShop,PS_Oven_01,R011,E03,programming,44.7,night,14,Sunday
165,2024-04-11T20:05:00,2024-04-11T20:13:17.000793,PaintShop,PS_QC_01,R011,E03,programming,8.3,afternoon,3,Thursday
166,2024-05-04T17:02:00,2024-05-04T17:43:06.313775,FinalAssembly,FA_Conv_01,R008,E03,programming,41.1,afternoon,12,Saturday
167,2024-03-14T07:47:00,2024-03-14T09:43:25.507335,BodyShop,BS_QC_01,R004,E04,sensor,122.2,morning,35,Thursday
168,2024-06-29T03:28:00,2024-06-29T04:05:26.931755,BodyShop,BS_Trans_01,R029,E01,mechanical,43.3,night,10,Saturday
169,2024-03-24T01:18:00,2024-03-24T01:28:25.100506,PaintShop,PS_Oven_01,R014,E01,mechanical,11.5,night,6,Sunday
170,2024-05-15T13:36:00,2024-05-15T14:11:06.949480,FinalAssembly,FA_Station_01,R006,E01,mechanical,35.1,morning,10,Wednesday
171,2024-06-05T12:39:00,2024-06-05T12:41:43.256278,FinalAssembly,FA_Station_01,R016,E05,material_supply,2.7,morning,0,Wednesday
172,2024-02-06T07:29:00,2024-02-06T08:12:46.998836,FinalAssembly,FA_Station_02,R015,E02,electrical,43.8,morning,16,Tuesday
173,2024-01-03T14:57:00,2024-01-03T15:06:38.603139,PaintShop,PS_Paint_01,R003,E02,electrical,9.6,afternoon,2,Wednesday
174,2024-03-29T18:19:00,2024-03-29T18:20:00,FinalAssembly,FA_QC_01,R023,E02,electrical,1.0,afternoon,2,Friday
175,2024-03-18T06:24:00,2024-03-18T07:22:56.860945,PaintShop,PS_Prep_01,R008,E02,electrical,58.9,morning,19,Monday
176,2024-04-01T18:18:00,2024-04-01T19:32:55.458575,FinalAssembly,FA_Station_02,R001,E06,other,74.9,afternoon,23,Monday
177,2024-06-17T12:17:00,2024-06-17T13:32:11.924310,BodyShop,BS_Weld_01,R030,E03,programming,79.0,morning,28,Monday
178,2024-05-07T09:49:00,2024-05-07T10:03:52.521995,BodyShop,BS_Trans_01,R008,E03,programming,15.6,morning,7,Tuesday
179,2024-06-07T08:43:00,2024-06-07T08:51:40.534168,FinalAssembly,FA_Station_01,R021,E01,mechanical,8.7,morning,5,Friday
180,2024-06-09T20:02:00,2024-06-09T20:36:53.756810,PaintShop,PS_QC_01,R002,E03,programming,34.9,afternoon,9,Sunday
181,2024-02-03T02:58:00,2024-02-03T03:37:12.293124,PaintShop,PS_Oven_01,R024,E02,electrical,43.1,night,11,Saturday
182,2024-02-21T04:50:00,2024-02-21T05:09:56.191974,FinalAssembly,FA_Station_02,R017,E03,programming,21.9,night,6,Wednesday
183,2024-03-10T05:16:00,2024-03-10T05:30:33.832912,PaintShop,PS_Oven_01,R024,E05,material_supply,16.0,night,4,Sunday
184,2024-01-30T14:04:00,2024-01-30T14:07:06.758966,BodyShop,BS_Weld_02,R028,E04,sensor,3.3,afternoon,2,Tuesday
185,2024-06-21T12:54:00,2024-06-21T12:57:51.461482,FinalAssembly,FA_Station_02,R003,E04,sensor,3.9,morning,2,Friday
186,2024-01-04T08:34:00,2024-01-04T08:36:39.913068,BodyShop,BS_QC_01,R012,E04,sensor,2.8,morning,3,Thursday
187,2024-06-21T08:37:00,2024-06-21T08:39:11.783283,PaintShop,PS_Oven_01,R004,E04,sensor,2.2,morning,0,Friday
188,2024-04-30T00:39:00,2024-04-30T01:22:07.778781,FinalAssembly,FA_Station_02,R030,E03,programming,47.4,night,14,Tuesday
189,2024-06-14T02:40:00,2024-06-14T03:10:37.499630,PaintShop,PS_Oven_01,R021,E02,electrical,33.7,night,12,Friday
190,2024-02-05T01:02:00,2024-02-05T02:15:33.246807,PaintShop,PS_QC_01,R004,E01,mechanical,80.9,night,23,Monday
191,2024-05-17T04:24:00,2024-05-17T06:10:43.160909,PaintShop,PS_Oven_01,R022,E05,material_supply,117.4,night,34,Friday
192,2024-06-27T17:26:00,2024-06-27T17:28:10.790991,FinalAssembly,FA_Station_01,R029,E02,electrical,2.2,afternoon,3,Thursday
193,2024-01-26T15:39:00,2024-01-26T16:16:31.863811,PaintShop,PS_Oven_01,R002,E04,sensor,37.5,afternoon,8,Friday
194,2024-02-25T14:28:00,2024-02-25T15:27:12.356513,BodyShop,BS_Trans_01,R004,E06,other,62.2,afternoon,22,Sunday
195,2024-04-04T17:57:00,2024-04-04T17:59:56.820312,FinalAssembly,FA_Station_02,R002,E02,electrical,2.9,afternoon,0,Thursday
196,2024-02-18T03:54:00,2024-02-18T04:09:48.531554,PaintShop,PS_Prep_01,R022,E01,mechanical,17.4,night,5,Sunday
